county_cd	County Type	year	Population	Total self-supplied groundwater withdrawals, in Mgal/d	Total self-supplied surface-water withdrawals, in Mgal/d	Total self-supplied withdrawals, in Mgal/d	Total consumptive use, fresh, in Mgal/d	Total conveyance loss, in Mgal/d	 Total sprinkler irrigation, in thousand acres	Total microirrigation, in thousand acres	Total surface irrigation, in thousand acres	Total irrigation, in thousand acres	Total reclaimed wastewater, in Mgal/d	$E-Total conveyance loss, in Mgal/d
55.000	Frontier	2005.000	7.771	0.000	36.230	36.230	$null$	$null$	0.480	0.000	16.930	17.410	$null$	6.389
55.000	Frontier	2010.000	6.711	0.000	35.230	35.230	$null$	$null$	1.120	0.000	13.920	15.040	$null$	6.630
55.000	Frontier	2015.000	6.492	0.000	38.070	38.070	9.030	$null$	0.940	0.000	11.800	12.740	$null$	8.390
57.000	Frontier	1985.000	1.640	0.000	340.350	340.350	134.450	85.090	0.030	$null$	100.330	100.360	0.000	97.060
57.000	Frontier	1990.000	1.610	0.000	354.320	354.320	147.050	88.580	0.040	$null$	109.460	109.500	0.000	99.672
57.000	Frontier	1995.000	1.540	0.000	399.760	399.760	138.330	111.940	0.030	0.000	85.500	85.530	0.000	123.786
57.000	Frontier	2000.000	1.580	0.000	322.560	322.560	$null$	$null$	0.000	0.000	104.370	104.370	$null$	89.186
57.000	Frontier	2005.000	1.448	0.000	426.870	426.870	$null$	$null$	0.000	0.000	114.410	114.410	$null$	125.621
57.000	Frontier	2010.000	1.394	0.000	347.130	347.130	$null$	$null$	0.000	0.000	112.270	112.270	$null$	96.159
57.000	Frontier	2015.000	1.356	0.000	340.400	340.400	63.930	$null$	0.000	0.000	90.390	90.390	$null$	99.981
59.000	Urban	1985.000	415.100	0.890	16.030	16.920	8.940	6.460	0.760	$null$	4.060	4.820	0.700	2.800
59.000	Urban	1990.000	438.430	1.130	18.930	20.060	10.260	7.450	1.020	$null$	5.460	6.480	0.000	3.491
